Carrier Code,Flight Number,Origin Airport,precip_rate,rh,snow_rate,solar_rad,temp,vis,weather.description,wind_dir,wind_gust_spd,wind_spd,precip_rate_des,rh_des,snow_rate_des,solar_rad_des,temp_des,vis_des,weather.description_des,wind_dir_des,wind_gust_spd_des,wind_spd_des,Status,Previous Flight Status,Scheduled Arrival Hour,Scheduled Arrival Minutes,Scheduled departure Hour,Scheduled departure Minutes,Date,Predicted Status
9E,4953.0,JFK,3.0,92,0.0,0,9.4,14,r01n,65,8.4,4.59,0.0,49,0.0,7,14.2,16,c04n,35,3.4,2.85,0,Late,21,56,20,30,2022-05-06,0
MQ,3402.0,ORD,0.0,60,0.0,0,17.8,16,802,80,3.6,1.5,0.0,62,0.0,11,18.3,16,Overcast clouds,310,7.0,3.1,0,Early,23,41,20,46,2023-06-17,0
MQ,3518.0,ORD,0.0,67,0.0,0,23.8,16,803,45,2.6,2.6,0.0,39,0.0,114,26.6,16,Overcast clouds,180,3.8,3.35,0,Early,20,0,17,11,2022-09-10,1
B6,2516.0,JFK,0.0,56,0.0,0,21.1,16,Broken clouds,235,6.4,5.63,0.0,40,0.0,0,21.7,16,Overcast clouds,240,3.6,3.6,1,On-time,23,19,21,59,2023-05-12,1
B6,656.0,MCO,0.0,50,0.0,176,27.2,16,Broken clouds,310,4.09,4.09,0.0,22,0.0,636,26.6,16,c03d,195,5.2,1.57,1,Early,19,2,16,15,2023-05-27,0
9E,5090.0,JFK,0.0,40,0.0,0,-1.1,16,c01n,290,8.6,6.2,0.0,54,0.0,0,-3.9,14,Overcast clouds,260,7.7,5.09,1,On-time,23,45,22,30,2022-11-20,0
MQ,3324.0,ORD,0.0,75,0.0,0,0.4,16,Scattered clouds,300,5.2,2.72,0.0,78,0.0,0,1.1,13,c04n,295,1.5,0.4,1,On-time,22,4,19,17,2023-12-05,1
UA,210.0,ORD,0.0,51,0.0,0,21.7,16,Clear Sky,145,4.4,2.35,0.0,67,0.0,102,23.2,16,Overcast clouds,150,3.7,1.77,0,Early,21,14,18,20,2023-08-28,0
B6,2516.0,JFK,0.0,58,0.0,0,19.4,16,Overcast clouds,230,6.4,4.34,0.0,63,0.0,0,13.9,16,Broken clouds,180,8.2,4.59,1,Early,23,59,22,59,2022-09-26,1
9E,5114.0,JFK,0.0,53,0.0,0,1.7,16,c04n,350,12.4,6.7,0.0,74,0.0,33,-3.5,16,Overcast clouds,250,4.0,3.1,1,Early,17,40,16,15,2022-12-14,0
B6,56.0,MCO,0.0,38,0.0,679,32.8,16,Broken clouds,200,12.9,6.7,0.0,26,0.0,853,27.9,16,Scattered clouds,205,4.3,0.65,2,Early,16,0,13,15,2023-04-14,1
9E,4730.0,JFK,0.0,56,0.0,276,16.4,16,Overcast clouds,125,8.4,5.55,0.0,50,0.0,337,22.8,16,Overcast clouds,115,7.4,2.97,0,Early,16,25,15,10,2022-05-25,0
MQ,3392.0,ORD,0.0,67,0.0,0,9.0,16,804,190,5.4,2.6,0.0,62,0.0,10,5.4,16,Broken clouds,80,2.7,1.12,2,Early,19,27,16,40,2022-11-23,0
9E,4730.0,JFK,1.0,92,1.0,98,1.7,7,s05d,25,7.4,5.7,0.5,95,7.5,143,0.0,1,s01d,80,4.0,1.5,1,Late,16,20,15,0,2022-03-09,1
9E,4988.0,JFK,0.0,76,0.0,0,15.8,16,804,50,3.2,2.47,0.0,80,0.0,0,13.1,16,Scattered clouds,160,1.6,0.75,0,Early,23,59,22,33,2023-09-21,0
9E,4981.0,JFK,0.0,70,0.0,250,21.3,16,Broken clouds,155,9.6,6.57,0.0,39,0.0,560,29.1,16,Broken clouds,190,5.8,4.22,0,On-time,18,30,16,50,2022-06-15,0
MQ,4203.0,ORD,0.5,71,0.0,140,18.0,11,804,105,9.5,7.53,0.0,23,0.0,911,13.6,16,c01d,310,8.3,5.4,1,Late,16,21,13,35,2022-04-30,0
B6,656.0,MCO,0.0,53,0.0,930,25.0,16,Scattered clouds,15,6.0,1.5,1.0,92,4.0,183,1.1,6,Light snow,80,5.1,1.5,2,Late,13,56,11,11,2022-04-03,1
9E,5118.0,JFK,0.0,55,0.0,273,27.5,16,c04d,200,4.0,3.82,0.0,45,0.0,172,25.6,16,c04d,310,7.2,4.9,0,Late,16,4,14,29,2023-08-05,0
B6,656.0,MCO,0.0,63,0.0,0,20.0,16,Scattered clouds,320,4.0,3.1,0.0,66,0.0,51,1.3,16,c04d,90,5.8,3.35,0,On-time,18,59,16,18,2023-01-09,0
9E,4976.0,JFK,0.0,62,0.0,60,16.7,16,Overcast clouds,50,6.9,3.6,0.0,36,0.0,173,16.0,16,Overcast clouds,100,4.1,1.57,0,Early,17,51,16,17,2022-09-30,0
MQ,4203.0,ORD,0.0,52,0.0,177,8.8,16,804,270,12.4,5.4,0.0,42,0.0,679,23.9,16,c03d,115,11.4,5.65,0,Early,16,21,13,35,2022-04-25,0
B6,656.0,MCO,0.0,80,0.0,0,16.9,16,Scattered clouds,265,11.1,7.7,0.0,72,0.0,20,8.3,16,c04n,35,11.8,5.15,0,Late,19,26,16,32,2023-12-17,1
9E,4884.0,JFK,0.0,27,0.0,834,27.8,16,Broken clouds,10,4.8,4.09,0.0,57,0.0,560,20.0,16,Broken clouds,260,5.4,2.35,0,On-time,10,53,9,29,2022-07-04,0
B6,656.0,MCO,0.0,50,0.0,0,17.2,16,Clear Sky,320,4.0,2.1,0.0,65,0.0,38,-1.3,16,c04d,330,3.5,3.47,0,On-time,18,59,16,18,2023-01-10,1
MQ,3911.0,ORD,0.0,48,0.0,0,26.6,16,804,170,6.0,5.25,0.0,36,0.0,181,30.0,16,Overcast clouds,300,4.4,3.6,2,Late,20,0,17,13,2022-08-19,1
9E,4844.0,JFK,0.0,84,0.0,33,9.4,16,804,145,3.8,2.6,0.0,43,0.0,133,13.9,16,c04d,115,11.0,3.59,0,On-time,16,13,14,36,2023-12-09,0
B6,16.0,JFK,0.0,92,0.0,0,3.3,14,Overcast clouds,70,8.8,4.09,1.0,92,1.0,0,-1.1,5,s05n,70,8.8,5.7,2,Early,22,47,21,35,2023-02-22,1
UA,1046.0,ORD,0.0,66,0.0,0,22.6,16,804,250,6.8,3.22,0.0,60,0.0,0,26.1,16,Overcast clouds,220,7.2,4.59,1,On-time,23,59,21,5,2022-08-29,1
9E,5340.0,JFK,0.0,100,0.0,0,10.2,0,a05n,80,4.0,2.7,2.0,91,0.0,0,15.8,9,Light rain,95,13.8,2.6,1,Late,23,59,22,32,2023-04-05,1
B6,656.0,MCO,0.0,68,0.0,0,25.2,16,Few clouds,70,6.0,4.84,0.0,76,0.0,82,8.3,16,Overcast clouds,80,6.0,5.09,0,Early,19,20,16,30,2023-10-29,0
9E,5090.0,JFK,0.0,63,0.0,0,22.8,16,Broken clouds,235,7.2,5.09,0.0,77,0.0,0,21.7,16,Overcast clouds,185,5.8,1.8,0,On-time,23,59,22,30,2022-09-18,0
9E,5009.0,JFK,0.0,63,0.0,0,5.7,16,c04n,185,7.6,5.7,0.0,92,0.0,0,-0.6,6,c04n,300,7.6,4.09,0,Late,23,54,22,30,2023-01-20,1
MQ,3911.0,ORD,0.0,72,0.0,0,21.9,16,804,50,2.85,2.85,0.0,75,0.0,100,21.7,16,Overcast clouds,90,7.0,3.72,1,Early,20,0,17,13,2022-09-06,1
9E,5090.0,JFK,0.0,52,0.0,0,-12.8,16,c04n,270,13.5,13.5,0.0,82,0.0,0,-13.3,2,Haze,220,13.4,9.8,1,On-time,23,58,22,30,2022-12-23,1
9E,4844.0,JFK,0.0,77,0.0,34,14.6,16,803,200,6.8,3.76,0.0,56,0.0,93,11.7,16,Overcast clouds,290,14.4,8.8,2,Early,16,31,15,0,2023-11-07,0
UA,1046.0,ORD,0.0,79,0.0,0,19.1,16,801,335,1.6,1.12,0.0,81,0.0,0,18.3,16,Broken clouds,300,2.4,1.5,0,Late,23,59,21,5,2022-08-17,1
B6,656.0,MCO,0.0,48,0.0,168,31.1,16,Overcast clouds,170,11.8,7.7,1.5,56,0.0,157,2.6,16,Light rain,85,7.9,5.92,1,Early,13,58,11,11,2022-03-23,1
B6,2516.0,JFK,0.0,83,0.0,0,12.2,16,c04n,180,4.4,3.6,0.0,54,0.0,0,11.3,16,c04n,255,1.7,0.52,0,Late,23,7,21,45,2022-05-05,0
MQ,3392.0,ORD,0.0,78,0.0,0,3.3,16,Overcast clouds,290,7.2,4.87,0.0,82,0.0,0,10.6,16,Overcast clouds,130,16.1,3.85,0,On-time,22,24,19,40,2023-02-09,1
UA,210.0,ORD,0.0,58,0.0,0,20.0,16,Scattered clouds,320,4.5,4.15,0.0,51,0.0,87,28.2,16,Overcast clouds,170,6.3,3.97,2,Late,21,14,18,20,2023-08-17,1
MQ,3518.0,ORD,0.0,46,0.0,0,24.6,16,803,190,3.22,3.22,0.0,56,0.0,197,26.3,16,Overcast clouds,315,4.97,4.97,1,Late,20,0,17,11,2022-09-08,1
B6,656.0,MCO,0.0,64,0.0,0,13.3,16,Clear Sky,260,6.4,4.09,0.5,77,10.0,42,-2.2,4,Light snow,280,12.9,6.7,1,On-time,19,0,16,17,2022-01-17,0
MQ,3949.0,ORD,0.0,53,0.0,267,26.6,16,Overcast clouds,290,6.4,4.97,0.0,79,0.0,167,20.6,15,c04d,250,11.6,7.6,0,Early,16,5,13,15,2023-08-08,0
B6,116.0,JFK,0.0,60,0.0,95,7.8,16,c04d,40,7.1,6.7,0.0,58,0.0,123,3.3,16,Overcast clouds,75,6.2,3.35,2,On-time,14,46,13,35,2022-11-15,1
MQ,3963.0,ORD,0.0,39,0.0,55,11.9,16,802,250,8.7,4.34,0.0,75,0.0,132,8.9,16,Overcast clouds,285,13.4,5.0,0,Early,16,1,13,15,2023-11-09,0
9E,4953.0,JFK,0.0,96,0.0,0,18.3,16,Overcast clouds,115,4.8,3.35,0.0,60,0.0,28,18.4,16,Overcast clouds,275,3.6,3.35,2,Late,21,56,20,30,2022-06-02,0
9E,5224.0,JFK,0.0,69,0.0,0,4.4,16,Overcast clouds,105,8.2,6.57,0.0,40,0.0,85,3.9,16,c04d,80,8.6,5.7,2,Late,17,59,16,30,2023-03-03,0
